month,year,daily_temp,daily_rain,daily_hum,daily_press,daily_windDir,daily_windSp,daily_DHI,daily_DNI,daily_GHI
1,2020,10.5,19.3,85.5,1000.9,87.8,7.2,68.7,0.0,68.7
5,2021,16.0,14.3,54.5,990.7,252.5,3.3,95.5,608.1,512.9
10,2020,17.2,22.0,77.3,985.2,218.5,7.0,159.7,86.0,192.9
1,2020,10.0,10.5,68.6,1002.4,212.4,1.5,80.0,439.1,230.3
7,2021,27.6,26.5,45.3,990.2,290.2,2.8,102.9,615.3,527.7
9,2020,24.4,19.5,53.9,990.5,278.4,2.6,111.2,621.5,477.2
3,2020,12.5,21.6,87.2,976.7,218.1,10.3,77.9,0.0,77.9
4,2020,10.1,18.5,74.2,986.8,215.5,1.3,144.8,23.4,155.2
1,2020,10.3,8.4,65.5,1000.5,293.9,7.5,125.1,249.5,204.8
8,2020,30.7,27.1,33.2,989.9,186.1,1.8,131.7,470.3,457.5
9,2019,21.4,20.5,60.5,991.8,259.8,4.0,215.0,332.2,412.8
